source,correction,domain
"Хронические заболевания в анамнезе  : ГБ: более 6 лет; хроническая обструктивная болезнь легких: Хронич бронхит; гастрит хронический; язвенная болезнь двенадцатиперстной кишки ремиссия   Наследственность:  заболевания у родственников мать: СД, ИБС","Хронические заболевания в анамнезе: ГБ: более 6 лет; хроническая обструктивная болезнь лёгких: хронич. бронхит; гастрит хронический; язвенная болезнь двенадцатиперстной кишки: ремиссия. Наследственность: заболевания у родственников: мать: СД, ИБС",MedSpellChecker
Симптоматическая эпилепсия с редкими генерализованными судорожыми припадками,Симптоматическая эпилепсия с редкими генерализованными судорожными припадками,MedSpellChecker
Снята с учета в 1995 году,Снята с учёта в 1995 году,MedSpellChecker
Пациент живет с женой и двумя детьми 6 и 15 лет,Пациент живёт с женой и двумя детьми 6 и 15 лет,MedSpellChecker
Имеет двое детей - здоровы,Имеет двое детей - здоровы,MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; гастрит хронический; нарушение толерантности к глюкозе    Наследственность:  не отягощена    Страховой анамнез:  не работает; больничный лист нет    Аллергологический анамнез  : без особенностей    Вредные привычки:  отрицает    Профессиональные вредности  отрицает    Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия","Хронические заболевания в анамнезе: ГБ; гастрит хронический; нарушение толерантности к глюкозе. Наследственность: не отягощена. Страховой анамнез: не работает; больничный лист нет. Аллергологический анамнез: без особенностей. Вредные привычки: отрицает. Профессиональные вредности отрицает. Образ жизни: бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия",MedSpellChecker
"СД, ОНМК, ЯБЖ -отрицает  Перенесенные состояния:  операции Струмэктомия: субтотальная   Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия напряжения 2-3 ф.к; диффузно-узловой зоб эутиреоз   Наследственность:  не отягощена   Аллергологический анамнез  : аллергия на: бытовые аллергены бытовая химия, парфюмерия: задыхается   Вредные привычки:  отрицает","СД, ОНМК, ЯБЖ – отрицает. Перенесённые состояния: операции струмэктомия: субтотальная. Хронические заболевания в анамнезе: ГБ; ИБС; стенокардия напряжения 2-3 ф. к; диффузно-узловой зоб, эутиреоз. Наследственность: не отягощена. Аллергологический анамнез: аллергия на: бытовые аллергены, бытовая химия, парфюмерия: задыхается. Вредные привычки: отрицает",MedSpellChecker
"СД, ЯБжелудка, ОНМК, БА, заболевания печени, почек -отрицает","СД, ЯБ желудка, ОНМК, БА, заболевания печени, почек -отрицает",MedSpellChecker
"Перенесенные состояния:  операции: грыжесечение в 1986г   Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия напряжения; гастрит хронический   Наследственность:  не отягощена   Страховой анамнез:  работает; инвалидность нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  отрицает   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; занятие спортом","Перенесённые состояния: операции: грыжесечение в 1986 г. Хронические заболевания в анамнезе: ГБ; ИБС; стенокардия напряжения; гастрит хронический. Наследственность: не отягощена. Страховой анамнез:  работает; инвалидность: нет. Аллергологический анамнез: без особенностей. Вредные привычки: отрицает. Образ жизни: бытовые условия удовлетворительные; питание регулярное, разнообразное; занятие спортом",MedSpellChecker
Условия жизни удовлетворительные,Условия жизни удовлетворительные,MedSpellChecker
Образование 10лет,Образование 10 лет,MedSpellChecker
алкоглем не злоупотребяет,алкоголем не злоупотребляет,MedSpellChecker
Перенесенные состояния:   операции: на правой голенив детстве по поводу доброкачественной опухоли,Перенесённые состояния: операции: на правой голени в детстве по поводу доброкачественной опухоли,MedSpellChecker
"Аллергологический анамнез  : аллергия на: медикаменты пенициллин, антибиотики, анальгин, димедрол","Аллергологический анамнез  : аллергия на: медикаменты пенициллин, антибиотики, анальгин, димедрол",MedSpellChecker
"Заболевания легких, печени, почек, СД, язвенную болезнь отрицает","Заболевания лёгких, печени, почек, СД, язвенную болезнь отрицает",MedSpellChecker
Хронический бронхит курильщика,Хронический бронхит курильщика,MedSpellChecker
"Гепатит, туберкулез - отрицает","Гепатит, туберкулёз - отрицает",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение,Хронические заболевания в анамнезе  : ГБ    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение,MedSpellChecker
Злоупотребление алкоголем отрицает,Злоупотребление алкоголем отрицает,MedSpellChecker
"анамнез: туберкулез, вирусные гепатиты, малярию, ВИЧ, сифилис отрицает","анамнез: туберкулёз, вирусные гепатиты, малярию, ВИЧ, сифилис отрицает",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; ИБС,Хронические заболевания в анамнезе  : ГБ; ИБС,MedSpellChecker
"Умеренное употребление алкоголя (1раз/неделю 0,5л пива), послений раз алкоголизация 08.10.10 - 0,5л пива","Умеренное употребление алкоголя (1раз/неделю 0,5л пива), последний раз алкоголизация 08.10.10 - 0,5л пива",MedSpellChecker
Состоит на учете в НИИ гематологии,Состоит на учёте в НИИ гематологии,MedSpellChecker
"Образование высшее, закончил инжененрный институт им.Комаровского","Образование высшее, закончил инженерный институт им. Комаровского",MedSpellChecker
Имеет вид на жительство в России,Имеет вид на жительство в России,MedSpellChecker
Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение   Образ жизни  : бытовые условия удовлетворительные; питание регулярное,Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение   Образ жизни  : бытовые условия удовлетворительные; питание регулярное,MedSpellChecker
"Хр геморрой, вне обострения","Хр геморрой, вне обострения",MedSpellChecker
От сверстников в умственном и физическом развитии не отставал,От сверстников в умственном и физическом развитии не отставал,MedSpellChecker
Планировалось оперативное лечение в июле 2013 г. ГМКБ № 2,Планировалось оперативное лечение в июле 2013 г. ГМКБ № 2,MedSpellChecker
"Аллергологический анамнез  : без особенностей   Вредные привычки:  курение более 1 пачки в день; алкоголь умеренно   Профессиональные вредности  : Нервно-психическое перенапряжение на работе   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; занятие спортом","Аллергологический анамнез  : без особенностей   Вредные привычки:  курение более 1 пачки в день; алкоголь умеренно   Профессиональные вредности  : Нервно-психическое перенапряжение на работе   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; занятие спортом",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия; сахарный диабет 1 типа декомпенсированный; остеохондроз позвоночника; хроническая обструктивная болезнь легких   Наследственность:  не отягощена   Профессиональные вредности  отрицает,Хронические заболевания в анамнезе: ГБ; ИБС; стенокардия; сахарный диабет 1 типа декомпенсированный; остеохондроз позвоночника; хроническая обструктивная болезнь лёгких. Наследственность: не отягощена. Профессиональные вредности отрицает,MedSpellChecker
"гепатит, туберкулез, сахарный диабет - отрицает","гепатит, туберкулёз, сахарный диабет - отрицает",MedSpellChecker
Хронические заболевания в анамнезе  : нарушение толерантности к глюкозе: ГБ; хроническая обструктивная болезнь легких: хронический бронхит курильщика; хронический пиелонефрит: с детства; ожирение 1 ст   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение более 1 пачки в день; алкоголь умеренно,Хронические заболевания в анамнезе: нарушение толерантности к глюкозе: ГБ; хроническая обструктивная болезнь лёгких: хронический бронхит курильщика; хронический пиелонефрит: с детства; ожирение 1 ст. Аллергологический анамнез: без особенностей. Вредные привычки: курение более 1 пачки в день; алкоголь умеренно,MedSpellChecker
Периодичекси принимает блокаторы протнонной помпы,Периодически принимает блокаторы протонной помпы,MedSpellChecker
Расширение двигательного режима перенес удовлетворительно,Расширение двигательного режима перенёс удовлетворительно,MedSpellChecker
Состояние после ОНМК от 12.12.2010г,Состояние после ОНМК от 12.12.2010 г.,MedSpellChecker
"Хронические заболевания в анамнезе  : хроническая обструктивная болезнь легких   Наследственность:  не отягощена   Страховой анамнез:  работает; больничный лист нет   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение более 1 пачки в день, в течение 30 лет; алкоголь в выходные дни   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия","Хронические заболевания в анамнезе : хроническая обструктивная болезнь лёгких.  Наследственность:  не отягощена.  Страховой анамнез:  работает; больничный лист нет.   Аллергологический анамнез  : без особенностей.  Вредные привычки:  курение более 1 пачки в день, в течение 30 лет; алкоголь в выходные дни.   Образ жизни: бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия",MedSpellChecker
"В анмнезе в юношестве перелом костей левого предплечья, в 2008г операция на коленном суставе","В анамнезе в юношестве перелом костей левого предплечья, в 2008 г. операция на коленном суставе",MedSpellChecker
"Наследственность- у матери- ГБ, ОНМК","Наследственность – у матери – ГБ, ОНМК",MedSpellChecker
Родился в г Ленинграде,Родился в г. Ленинграде,MedSpellChecker
Перенесенные состояния:  операции Аппендэктомия: 1976 г.  Респираторные заболевания   Хронические заболевания в анамнезе  : ГБ; ИБС; остеохондроз позвоночника; СКВ с 1998 г - принимает преднизолон   Гинекологический анамнез:  Менопауза,Перенесённые состояния: операции Аппендэктомия: 1976 г. Респираторные заболевания Хронические заболевания в анамнезе : ГБ; ИБС; остеохондроз позвоночника; СКВ с 1998 г - принимает преднизолон Гинекологический анамнез: Менопауза,MedSpellChecker
"Работает в ОО""Строительное монтажное управление 27"", б/л с 21.02.12","Работает в ОО""Строительное монтажное управление 27"", б/л с 21.02.12",MedSpellChecker
"Хронический гастрит, неактивная фаза","Хронический гастрит, неактивная фаза",MedSpellChecker
Хронический вирусный гепатит С.  ДГПЖ,Хронический вирусный гепатит С.  ДГПЖ,MedSpellChecker
Гинекологический анамнез:  Беременности: 4 Аборты: 2 Роды: 2; Менопауза: с 47 лет   Наследственность:  заболевания у родственников Отягощенная по сердечно - осудистой патологии,"Гинекологический анамнез: беременности: 4, аборты: 2, роды: 2; менопауза: с 47 лет. Наследственность: заболевания у родственников. Отягощённая по сердечно - сосудистой патологии",MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ; ИБС; стенокардия напряжения    Наследственность:  заболевания у родственников отец: умер в 63года от ВС на фоне ХСН, ГБ., мать: умерла в 69лет от цирроза печени., брат: СД, умер в 69 лет от осложнений СД., сестра: у одной - СД, остальные - здоровы","Хронические заболевания в анамнезе: ГБ; ИБС; стенокардия напряжения. Наследственность: заболевания у родственников: отец: умер в 63 года от ВС на фоне ХСН, ГБ, мать: умерла в 69 лет от цирроза печени, брат: СД, умер в 69 лет от осложнений СД, сестра: у одной - СД, остальные - здоровы",MedSpellChecker
Профессиональные вредности  контакт с испарениями на заводе по производству ластмассы,Профессиональные вредности: контакт с испарениями на заводе по производству пластмассы.,MedSpellChecker
"Перенесенные состояния:  травмы переломы: мениска  операции Аппендэктомия: более 5 лет назад  Хронические заболевания в анамнезе: хроническая обструктивная болезнь легких; гастрит хронический  Гинекологический анамнез: Половая жизнь: регулярная не отягощена., контрацепция: ОК; Беременности: не отмечалось","Перенесённые состояния: травмы переломы: мениска операции Аппендэктомия: более 5 лет назад Хронические заболевания в анамнезе: хроническая обструктивная болезнь лёгких; гастрит хронический Гинекологический анамнез: Половая жизнь: регулярная не отягощена., контрацепция: ОК; Беременности: не отмечалось",MedSpellChecker
Хронические заболевания в анамнезе  : ГБ; стенокардия 2 ФК; хроническая обструктивная болезнь легких: ХОБЛ Хронический обструктивный бронхит    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение 1 пачка в день    Образ жизни  : бытовые условия удовлетворительные; гиподинамия,Хронические заболевания в анамнезе: ГБ; стенокардия 2 ФК; хроническая обструктивная болезнь лёгких: ХОБЛ хронический обструктивный бронхит. Аллергологический анамнез: без особенностей. Вредные привычки: курение 1 пачка в день. Образ жизни: бытовые условия удовлетворительные; гиподинамия,MedSpellChecker
"Хронические заболевания в анамнезе  : ГБ: больше 3х лет; язвенная болезнь двенадцатиперстной кишки ремиссия, больше 2х лет назад; хронический панкреатит(о. панкреатит ок 2х лет назад)   Аллергологический анамнез  : аллергия на: медикаменты пенициллин: сыпь   Вредные привычки:  курение более 1 пачки в день; алкоголь злоупотребление","Хронические заболевания в анамнезе: ГБ: больше 3-х лет; язвенная болезнь двенадцатиперстной кишки, ремиссия, больше 2-х лет назад; хронический панкреатит (о. панкреатит ок 2-х лет назад). Аллергологический анамнез: аллергия на: медикаменты пенициллин: сыпь. Вредные привычки: курение более 1 пачки в день; алкоголь злоупотребление",MedSpellChecker
"Наследственность:  не отягощена   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение не курит последние 3 года, до этого курил эпизодически   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия","Наследственность:  не отягощена   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение не курит последние 3 года, до этого курил эпизодически   Образ жизни  : бытовые условия удовлетворительные; питание регулярное, разнообразное; гиподинамия",MedSpellChecker
Без дополнений ( по мед,Без дополнений (по мед,MedSpellChecker
"ГБ; ИБС; стенокардия; хроническая обструктивная болезнь легких: хронический бронхит; гастрит хронический   Наследственность:  заболевания у родственников мать: ГБ, стенокардия   Страховой анамнез:  работает   Аллергологический анамнез  : без особенностей   Вредные привычки:  курение более 40 лет   Образ жизни  : бытовые условия удовлетворительные; питание регулярное","ГБ; ИБС; стенокардия; хроническая обструктивная болезнь лёгких: хронический бронхит; гастрит хронический. Наследственность:  заболевания у родственников мать: ГБ, стенокардия. Страховой анамнез: работает. Аллергологический анамнез: без особенностей   Вредные привычки: курение более 40 лет. Образ жизни: бытовые условия удовлетворительные; питание регулярное",MedSpellChecker
"Перенесенные состояния:   операции: отрицает   Респираторные заболевания    Хронические заболевания в анамнезе  : отрицает    Наследственность:  заболевания у родственников отец: ОНМК, ГБ    Страховой анамнез:  не работает    Аллергологический анамнез  : без особенностей    Вредные привычки:  курение 1 пачка в день; алкоголь только по праздникам    Условия труда  : офицер запаса    Профессиональные вредности  отрицает    Образ жизни  : бытовые условия удовлетворительные; питание регулярное","Перенесённые состояния: операции: отрицает. Респираторные заболевания. Хронические заболевания в анамнезе: отрицает. Наследственность: заболевания у родственников: отец: ОНМК, ГБ. Страховой анамнез: не работает. Аллергологический анамнез: без особенностей.  Вредные привычки: курение 1 пачка в день; алкоголь только по праздникам. Условия труда: офицер запаса. Профессиональные вредности отрицает. Образ жизни: бытовые условия удовлетворительные; питание регулярное",MedSpellChecker
