source,correction,domain
"И еще тут ряда на 4 назад какието малолетнии наркоманы, не понимая всю трагичность момента, начинают хихикать, потерянная молодеж.",И еще тут ряда на 4 назад какие-то малолетние наркоманы не понимая всю трагичность момента начинают хихикать потерянная молодежь,RUSpellRU
"Ощушаю себя с ними монголойдом, я никогда так много не молчала как молчю тут, и не потому, что языковый баръер или еще что-то, просто коментариев нет",Ощущаю себя с ними монголоидом я никогда так много не молчала как молчу тут и не потому что языковый барьер или еще что-то просто комментариев нет,RUSpellRU
"Отвественный редактор издания, Юлия Потемкина, прислала мне потрясающий ролик про триатлон.",Ответственный редактор издания Юлия Потемкина прислала мне потрясающий ролик про триатлон,RUSpellRU
"Пополнил коллекцию шмоться от Fallen, всвязи с долгожданным завозом.",Пополнил коллекцию шмотья от Fallen в связи с долгожданным завозом,RUSpellRU
Атличный лотос у тебя,Отличный лотос у тебя,RUSpellRU
"Меня никто ни о чем не просил, просто хочется поделиться...",Меня никто ни о чем не просил просто хочется поделиться,RUSpellRU
Чем Дяченки и Олди мельче философов с мировыми именами?,Чем Дяченки и Олди мельче философов с мировыми именами,RUSpellRU
"Мы с Сашкой купили ( надо было что-то в бассейн на корпоративном отдыхе, что ли ), а они нам обоим оказались неудобны дико - высокий подъем у обоих, а они по-моему на плоскостопых расчитаны исключительно.",Мы с Сашкой купили надо было что-то в бассейн на корпоративном отдыхе что ли а они нам обоим оказались неудобны дико высокий подъем у обоих а они по-моему на плоскостопых рассчитаны исключительно,RUSpellRU
"Такое ощущение, как будто до этого видел сон, а сейчас только просыпаешься, но почему-то все адово болит и дышать трудно.",Такое ощущение как будто до этого видел сон а сейчас только просыпаешься но почему-то все адово болит и дышать трудно,RUSpellRU
Обълись пиццы и всячески ввеселились.,Объелись пиццы и всячески веселились,RUSpellRU
"Возможно, все ограничится приятным знакомством, а возможно и любовью на всю жизнь - кто знает?",Возможно все ограничится приятным знакомством а возможно и любовью на всю жизнь кто знает,RUSpellRU
"русским мог стать любой, кто любил русскую культуру, родину, говорил по-русски.",русским мог стать любой кто любил русскую культуру родину говорил по-русски,RUSpellRU
"кому подойдет: инопланетянам, или людям живущим загородом, или владельцам ну оооочень большой квартиры с ну оооочень большой кладовкой, куда это чудо технической мысли можно спрятать.",кому подойдет инопланетянам или людям живущим за городом или владельцам ну очень большой квартиры с ну очень большой кладовкой куда это чудо технической мысли можно спрятать,RUSpellRU
"Распрашивая иностранцев-гостей Питера о их впечатлении от русских, частым комментарием был тот факт, что все слишком сердитые и серьезные, никто не улыбается на улице.",Расспрашивая иностранцев-гостей Питера о их впечатлении от русских частым комментарием был тот факт что все слишком сердитые и серьезные никто не улыбается на улице,RUSpellRU
"Библиография, приведенная в конце книги, впечатляет.",Библиография приведенная в конце книги впечатляет,RUSpellRU
"А про дырявую книгу я даже не знала, спасибо, что заинтересовали )",А про дырявую книгу я даже не знала спасибо что заинтересовали,RUSpellRU
"Зашел в в какой-то сетевой европейский ( не помню название бренда ) магазин, - купить сыну игрушку из командировки ( lego ), - цены Московские, девченки-продавцы по-русски говорят плохо.",Зашел в какой-то сетевой европейский не помню название бренда магазин купить сыну игрушку из командировки lego цены Московские девчонки-продавцы по-русски говорят плохо,RUSpellRU
"Сегодня вот днем выдалось свободное время, и я опять ходил кататься на коньках.",Сегодня вот днем выдалось свободное время и я опять ходил кататься на коньках,RUSpellRU
"А она научилась справляться и жить дальше, зная, что близкие люди страдают, чувствуя собственную боль.",А она научилась справляться и жить дальше зная что близкие люди страдают чувствуя собственную боль,RUSpellRU
Зубодробительня гребенка с острыми камнями на протяжении всех 50 км пути!,Зубодробительная гребенка с острыми камнями на протяжении всех 50 км пути,RUSpellRU
"Слава богу, на минуту мне показалось, что я оглох.",Слава богу на минуту мне показалось что я оглох,RUSpellRU
прийдя в МГТУ я был удивлен никого необноружив там...,придя в МГТУ я был удивлен никого не обнаружив там,RUSpellRU
"Профессиональнаякарьера Патрисии началась - чтовполне закономерно - недалеко от родных мест, но за пределами Франции.",Профессиональная карьера Патрисии началась что вполне закономерно недалеко от родных мест но за пределами Франции,RUSpellRU
"и как Мишка сегодня сыграл, и как тот самый ненавистный Олег им гол каааак забил!",и как Мишка сегодня сыграл и как тот самый ненавистный Олег им гол как забил,RUSpellRU
а спустя три часа я зашел в серверную школы которую мы обслуживаем чтобы выяснить отчегоже всера небыло у учителей интернета и хронографа...,а спустя три часа я зашел в серверную школы которую мы обслуживаем чтобы выяснить отчего же вчера не было у учителей интернета и хронографа,RUSpellRU
"Уилл был мастером прятаться, но не мог воспользоваться своими талантами, потому как не имел возможности обнаружить в темноте никаких укрытий.",Уилл был мастером прятаться но не мог воспользоваться своими талантами потому как не имел возможности обнаружить в темноте никаких укрытий,RUSpellRU
давайте на эту вот самую тему побеседуем годов через 25 :),давайте на эту вот самую тему побеседуем годов через 25,RUSpellRU
Но тут-то дело за малым - написать ее.,Но тут-то дело за малым написать ее,RUSpellRU
"Онибыли лучшими наавтобанах инагоночных трассах, создав универсальный миф обидеальной спортивной машине.",Они были лучшими на автобанах и на гоночных трассах создав универсальный миф об идеальной спортивной машине,RUSpellRU
и мне вновь хочеться изводить пергамент на писмена...,и мне вновь хочется изводить пергамент на письмена,RUSpellRU
Обнаружиласть тут в залежах.,обнаружиласть тут в залежах,RUSpellRU
"Я вчера чуть не купила такие же в супер-маркете - золотые и серебрянные, но решила, что дороговато ( по 160 р штучка )",Я вчера чуть не купила такие же в супермаркете золотые и серебряные но решила что дороговато по 160 р штучка,RUSpellRU
Расщифровать аудио мне так и не удалось.,Расшифровать аудио мне так и не удалось,RUSpellRU
"Любителям политических "" боев на цветных карандашах "" можно не читать.",Любителям политических боев на цветных карандашах можно не читать,RUSpellRU
Самойто в разы дешевле сделать...,Самой-то в разы дешевле сделать,RUSpellRU
"Хоть я слушаю тул недавно, и ваще тока полтора альбома успел послушать, мне все это нравится.",Хоть я слушаю тут недавно и вообще только полтора альбома успел послушать мне все это нравится,RUSpellRU
"Едем дальше на север, проехали город Бовен и к вечеру уже были в Таунсвилл.",Едем дальше на север проехали город Бовен и к вечеру уже были в Таунсвилл,RUSpellRU
Навернео поэтому мне мечталось о сынишке.,Наверное поэтому мне мечталось о сынишке,RUSpellRU
"Игрушку "" Покорми меня "" ооочень давно хотела сшить, но доделала только сегодня ( Яся стала плохо спать по ночам, а днем я от нее стараюсь не особо отвлекаться, поэтому времени мало ).",Игрушку Покорми меня очень давно хотела сшить но доделала только сегодня Яся стала плохо спать по ночам а днем я от нее стараюсь не особо отвлекаться поэтому времени мало,RUSpellRU
Варикозная болезньматки симптомы,Варикозная болезнь матки симптомы,RUSpellRU
"Вопрос в том, как совместить все эти векторы.",Вопрос в том как совместить все эти векторы,RUSpellRU
ника прости меня пожалуй ста я очень виноват,ника прости меня пожалуйста я очень виноват,RUSpellRU
определяет правила взаимоотношений вас и их и даже както легитимизирует ваш забор.,определяет правила взаимоотношений вас и их и даже как-то легитимизирует ваш забор,RUSpellRU
как же так надолго артисты отпускают?,как же так надолго артисты отпускают,RUSpellRU
Все желающие могли в любой момент совершить паломничество на кухню за добавкой.,Все желающие могли в любой момент совершить паломничество на кухню за добавкой,RUSpellRU
"Мущщину очень озаботил фон ( точнее, надпись ).",Мужчину очень озаботил фон точнее надпись,RUSpellRU
"Ближе к полуночи, когда станция совсем опустела, он все-таки решился.",Ближе к полуночи когда станция совсем опустела он все-таки решился,RUSpellRU
никада не пить - оооочень знакомо!,Никогда не пить очень знакомо,RUSpellRU
"и эту Радугу Вы рисуете своими мечтами, фантазиями, елочными игрушками, украшениями.",и эту Радугу Вы рисуете своими мечтами фантазиями елочными игрушками украшениями,RUSpellRU
Не люблю рассказывать о себе.,Не люблю рассказывать о себе,RUSpellRU
"Симаатическая система наоборот отключает все железы внешней секреции: как потовые, так и слюнные.",Симпатическая система наоборот отключает все железы внешней секреции как потовые так и слюнные,RUSpellRU
Разультаты моего длительного сотрудничества с компанией Nettrader.,Результаты моего длительного сотрудничества с компанией Nettrader,RUSpellRU
"Съездеть чтоль в музей какой, коли они все сегодня бесплатные.",Съездить что ль в музей какой коли они все сегодня бесплатные,RUSpellRU
Першпектива купания в ледяной воде никого не радовала.,Перспектива купания в ледяной воде никого не радовала,RUSpellRU
"Это основной курс, в рамках которого есть еще несколько, но о них позже и дальше.",Это основной курс в рамках которого есть еще несколько но о них позже и дальше,RUSpellRU
Припораты от варикоза,Препараты от варикоза,RUSpellRU
"Съездели два раза с подругой за билетами, вечером в рассчете на то, что купим чуть раньше и пойдем, приехали...",Съездили два раза с подругой за билетами вечером в расчете на то что купим чуть раньше и пойдем приехали,RUSpellRU
"Тогдя я возмущался, что некто, не понятно как, получил архив диссертаций РГБ и барыжит ими.",Тогда я возмущался что некто непонятно как получил архив диссертаций РГБ и барыжит ими,RUSpellRU
Сранно как-то поиск в ЖЖ работает.,Странно как-то поиск в ЖЖ работает,RUSpellRU
А вобще пришла в голову мысль: вроде не весна...,А вообще пришла в голову мысль вроде не весна,RUSpellRU
"Оченьславный ребенок, настоящий ангел!",Очень славный ребенок настоящий ангел,RUSpellRU
Пришлесь идти в обход...,Пришлось идти в обход,RUSpellRU
"Приветствутется знание технических основ ( принципы построения БД, опыт программирования на Navision Axapta ), опыт работы на стороне заказчика.",Приветствуется знание технических основ принципы построения БД опыт программирования на Navision Axapta опыт работы на стороне заказчика,RUSpellRU
Провожаем жизнь мы с тобой.,Провожаем жизнь мы с тобой,RUSpellRU
Опаслася ли он своих снов?,Опасался ли он своих снов,RUSpellRU
Расжился на выходных экземпляром сабжа.,Разжился на выходных экземпляром сабжа,RUSpellRU
"Однажэды обезумевшая старуха Людмила Ивановна, раскидала все наши зуные щетки...",Однажды обезумевшая старуха Людмила Ивановна раскидала все наши зубные щетки,RUSpellRU
"Военные в целях безопасности оцепили пирамиды, а также Каирский музей и другие достопримечательности.",Военные в целях безопасности оцепили пирамиды а также Каирский музей и другие достопримечательности,RUSpellRU
Пользоваццо сервисом проще простогО!,Пользоваться сервисом проще простого,RUSpellRU
Железная машина поломалась об православную духовность.,Железная машина поломалась об православную духовность,RUSpellRU
"Небыло бы универа и одинаковых прохожих, калясочников с детьми, блонди в розовом и голубом, нелепых гоп возле игровых автоматов, и самих игровых автоматов, гламурных перцев, реалити дом2, партии КПРФ, алкогольных напитков, однообразия на прилавках магазинов, отсутствия скейтпарка, запорожцев ), разбитых лиц и т.д....",Не было бы универа и одинаковых прохожих колясочников с детьми блонди в розовом и голубом нелепых гоп возле игровых автоматов и самих игровых автоматов гламурных перцев реалити дом-2 партии КПРФ алкогольных напитков однообразия на прилавках магазинов отсутствия скейтпарка запорожцев разбитых лиц и т.д,RUSpellRU
"Сочуствующие тут же бросились развивать тему, ( и так достаточно бредовую ), и доев свой грибной завтрак и покатавшись на радуге ребята засели за КРЕАТИФФ.",Сочувствующие тут же бросились развивать тему и так достаточно бредовую и доев свой грибной завтрак и покатавшись на радуге ребята засели за креатив,RUSpellRU
"Их творения могли казаться странными, непонятными.",Их творения могли казаться странными непонятными,RUSpellRU
Нсли не ошибаюсь - в первом томе Экономикса изложен.,Если не ошибаюсь в первом томе Экономикса изложен,RUSpellRU
"но когда сажусь писать, мне начинает казаться, что не следует об этом писать.",но когда сажусь писать мне начинает казаться что не следует об этом писать,RUSpellRU
"Но зато были и болезни, и паразиты, и полное отсутствие представлений о гигиене, да к тому же численность населения контролировалась тогда не современными контрацептивами, а саблезубыми тиграми и всякими прочими хищниками.",Но зато были и болезни и паразиты и полное отсутствие представлений о гигиене да к тому же численность населения контролировалась тогда не современными контрацептивами а саблезубыми тиграми и всякими прочими хищниками,RUSpellRU
"Однако статуи, выполненные им, всегда лишены глаз, - что воспринимается с трудом даже теми, кто ценит многие другие аспекты его творчества.",Однако статуи выполненные им всегда лишены глаз что воспринимается с трудом даже теми кто ценит многие другие аспекты его творчества,RUSpellRU
Его рождение - самое таинственное и непередаваемое земное чудо.,Его рождение самое таинственное и непередаваемое земное чудо,RUSpellRU
"Челка отросла, лезет в глаза и уже мне мешает - но идти стричься, естесственно, некогда.",Челка отросла лезет в глаза и уже мне мешает но идти стричься естественно некогда,RUSpellRU
Теперь сюжет еще круче: Джефф Гордон ( известный автогонщик ) взял баночку пепси со скрытой камерой и разыграл менеджера автосалона,Теперь сюжет еще круче Джефф Гордон известный автогонщик взял баночку пепси со скрытой камерой и разыграл менеджера автосалона,RUSpellRU
"Слишклм много тоже плохо, но и какой-то постоянный минимум абсолютно необходим.",Слишком много тоже плохо но и какой-то постоянный минимум абсолютно необходим,RUSpellRU
"Однимает хорошую девушку, его знакомую",Обнимает хорошую девушку его знакомую,RUSpellRU
"Все подруги всегда курили, я - нет, еще нет.",Все подруги всегда курили я нет еще нет,RUSpellRU
"Основыные же беды от злой Эриды, от нее же война, а не трудолюбие.",Основные же беды от злой Эриды от нее же война а не трудолюбие,RUSpellRU
"Когда что-то не получаеться, падает самооценка, разрушаеться идеальный образ.",Когда что-то не получается падает самооценка разрушается идеальный образ,RUSpellRU
Ктото выкладывал вконтактепро медикаменты смысл был в том что существуют российские аналоги которые намного дешевле иностранныхи приводился список лекарств,Кто-то выкладывал в контакте про медикаменты смысл был в том что существуют российские аналоги которые намного дешевле иностранных и приводился список лекарств,RUSpellRU
"Кроординирует движениие специальный человек, идущий спереди и, как правила, задом наперед.",Координирует движение специальный человек идущий спереди и как правило задом наперед,RUSpellRU
"После этого греки завладели преимуществом и вскоре отыгрались, а затем и вышли вперед.",После этого греки завладели преимуществом и вскоре отыгрались а затем и вышли вперед,RUSpellRU
"даешь больше ножек, кстате можно немного и позагорать!",даешь больше ножек кстати можно немного и позагорать,RUSpellRU
"Расказчик бодрый, понятный, а главное - компетентный.",Рассказчик бодрый понятный а главное компетентный,RUSpellRU
говорят у него был шок когда мы прихали.,говорят у него был шок когда мы приехали,RUSpellRU
"Не ссорьтесь на людях, и не показывайте недовольство тем или другим образом.",Не ссорьтесь на людях и не показывайте недовольство тем или другим образом,RUSpellRU
"Выдали студенческий билет, по нему она жила годы учебы.",Выдали студенческий билет по нему она жила годы учебы,RUSpellRU
Проичитал удивленные отзывы о православном нисхождении огня.,Прочитал удивленные отзывы о православном нисхождении огня,RUSpellRU
"вобщем когдато год назад по сети ходила записо звонка в техпотдержку некого пользователя СТРИМ которого довели до пены у рта с криков "" разрывы """,в общем когда-то год назад по сети ходила запись звонка в техподдержку некого пользователя СТРИМ которого довели до пены у рта с криков разрывы,RUSpellRU
"Но, что ты с ними сможешь сделать?",Но что ты с ними сможешь сделать,RUSpellRU
"Сейчас более известен его сын, Максим Кантор, художник и писатель.",Сейчас более известен его сын Максим Кантор художник и писатель,RUSpellRU
"Я могу есть нмного, но очень начинаю тосковать от однообразия.",Я могу есть немного но очень начинаю тосковать от однообразия,RUSpellRU
