source,correction,domain
Теперь мы включим массив `listItems` внутрь элемента `<ul>` и [отрендерить его в DOM](/docs/rendering-elements.html#rendering-an-element-into-the-dom):,Теперь мы включим массив `listItems` внутрь элемента `<ul>` и [отрендерим его в DOM](/docs/rendering-elements.html#rendering-an-element-into-the-dom):,GitHubTypoCorpusRu
"Фух, давайте перестанем торопиться и немного охладим пыл! Если вам что-то непонятно или вы хотите узнать о чем-либо более подробно, вы можете начать читать следующие страницы, начиная с документации [хука состояния](/docs/hooks-state.html).","Фух, давайте перестанем торопиться и немного охладим пыл! Если вам что-то непонятно или вы хотите узнать о чём-либо более подробно, вы можете начать читать следующие страницы, начиная с документации [хука состояния](/docs/hooks-state.html).",GitHubTypoCorpusRu
-- генарация последовательности всех дат от 2010-01-01 до 2010-12-31,-- генерация последовательности всех дат от 2010-01-01 до 2010-12-31,GitHubTypoCorpusRu
"Rails по умолчанию генерирует слабые ETag. Слабые ETag позволяют семантически эквивалентным откликам иметь одинаковые ETag, даже если их тела не имеют точного совпадения. Это полезно, когда мы не хотим, чтобы страница перегенерировалась для небольших изменений в теле отклика.","Rails по умолчанию генерирует слабые ETag. Слабые ETag позволяют семантически эквивалентным откликам иметь одинаковые ETag, даже если их тела не имеют точного совпадения. Это полезно, когда мы не хотим, чтобы страница заново генерировалась для небольших изменений в теле отклика.",GitHubTypoCorpusRu
Boilerplate &mdash; это не фреймворк. Мы также на навязываем какой-либо ,Boilerplate &mdash; это не фреймворк. Мы также не навязываем какой-либо ,GitHubTypoCorpusRu
"[Работники](introduction/workers) - это уникальный концепт, придуманный BitShares. Они состоят из предложений по предоставлению услуг в обмен на зарплату от самого блокчейна. Предложение должно включать в себя ссылку на веб-сайт или ветку форума, которая объясняет назначение предложения. Коллекцию предложений можно найти здесь: [BitSharestalk](https://bitsharestalk.org/index.php/board,103.0.html).","[Работники](introduction/workers) - это уникальный концепт, придуманный BitShares. Они состоят из предложений по предоставлению услуг в обмен на зарплату от самого блокчейна. Предложение должно включать в себя ссылку на веб-сайт или ветку форума, которая объясняет назначение предложения. Коллекцию предложений можно найти здесь: [BitSharestalk - Stakeholder Proposals Board](https://bitsharestalk.org/index.php/board,75.0.html).",GitHubTypoCorpusRu
Представления модуля также следует поместить в в поддиректорию `views` [[yii\base\Module::basePath|базового пути]],Представления модуля также следует поместить в поддиректорию `views` [[yii\base\Module::basePath|базового пути]],GitHubTypoCorpusRu
"Попробуем объямить наш модуль. Для этого нам нужно отнаследоватся от протокола: DIModule, и реализовать метод load(builder). Это можно сделать следующим образом:","Попробуем объявить наш модуль. Для этого нам нужно отнаследоватся от протокола DIModule, и реализовать метод load(builder). Это можно сделать следующим образом:",GitHubTypoCorpusRu
\section{И еще один подраздер приложения} \label{AppendixB4},\section{И ещё один подраздел приложения} \label{AppendixB4},GitHubTypoCorpusRu
"Подобно `$root`, свойств `$parent` можно использовать для доступа к родительскому экземпляру из дочернего. Это может быть заманчивым для использования в качестве ленивой альтернативы передачи данных с помощью входных параметров.","Подобно `$root`, свойство `$parent` можно использовать для доступа к родительскому экземпляру из дочернего. Это может быть заманчивым для использования в качестве ленивой альтернативы передачи данных с помощью входных параметров.",GitHubTypoCorpusRu
Кэширование страниц осуществляется при помощи [[yii\filters\PageCache]] и [фильтра действия](runtime-filtering.md).,Кэширование страниц осуществляется при помощи [[yii\filters\PageCache]] и [фильтра действия](structure-filters.md).,GitHubTypoCorpusRu
">Если вы были знакомы с API контекстов до появления хуков, то вызов `useContext(MyContext)` аналогичен выражению `static contextType = MyContext` в классе, либо компоненту `<MyContext.Provider>`.",">Если вы были знакомы с API контекстов до появления хуков, то вызов `useContext(MyContext)` аналогичен выражению `static contextType = MyContext` в классе, либо компоненту `<MyContext.Consumer>`.",GitHubTypoCorpusRu
"main.promo.title: Разрабатываем програмное обезпечение, которое увеличивает прибыль и создает социальные блага","main.promo.title: Разрабатываем програмное обеcпечение, которое увеличивает прибыль и создает социальные блага",GitHubTypoCorpusRu
"Вы можете использовать [Vue CLI](https://github.com/vuejs/vue-cli) для загрузки вашего NativeScript-Vue приложения. Из коробки этот шаблон обеспеччивает поддержку [Vuex](https://vuex.vuejs.org/ru/), [Vue Router](https://github.com/vuejs/vue-router) и[Темы NativeScript](https://docs.nativescript.org/ui/theme). Изначально сделанный [Pascal Martineau](https://github.com/lewebsimple/),этот шаблон является официально поддерживаемым для разработки с использованием NativeScript-Vue.","Вы можете использовать [Vue CLI](https://github.com/vuejs/vue-cli) для загрузки вашего NativeScript-Vue приложения. Из коробки этот шаблон обеспечивает поддержку [Vuex](https://vuex.vuejs.org/ru/), [Vue Router](https://github.com/vuejs/vue-router) и [Темы NativeScript](https://docs.nativescript.org/ui/theme). Этот шаблон, сделанный [Pascal Martineau](https://github.com/lewebsimple/), поддерживается официально и рекомендуется для использования с NativeScript-Vue.",GitHubTypoCorpusRu
Для отрисовки большого количества данных можно использовать поток,Для вывода большого количества данных можно использовать поток,GitHubTypoCorpusRu
"Кроме всего прочего, функция `eval` — это проблема в безопасности, поскольку исполняется **любой** переданный в неё код; **никогда** не следует использовать её со строками из неизвестных или недоверительных источников.","Кроме всего прочего, функция `eval` — это проблема в безопасности, поскольку исполняется **любой** переданный в неё код; **никогда** не следует использовать её со строками из неизвестных или недоверенных источников.",GitHubTypoCorpusRu
"              ""Короче, связь между `master` и `o/master` объясняется не инчае как свойство \""удалённое отслеживание\"" веток. Ветка `master` настроена так, чтобы следить за `o/master` -- это подразумевает наличие источника для merge и пункта назначения для, в контексте ветки `master`."",","              ""Короче, связь между `master` и `o/master` объясняется не иначе как свойство \""удалённое отслеживание\"" веток. Ветка `master` настроена так, чтобы следить за `o/master` -- это подразумевает наличие источника для merge и пункта назначения для, в контексте ветки `master`."",",GitHubTypoCorpusRu
"Хватит болтавни, давайте взглянем на демонстрацию! Мы выполним checkout для новой ветки `foo` и укажем ей, чтобы она отслеживала `master` с удалённого репозитория.","Хватит болтовни, давайте взглянем на демонстрацию! Мы выполним checkout для новой ветки `foo` и укажем ей, чтобы она отслеживала `master` с удалённого репозитория.",GitHubTypoCorpusRu
"- фокусируются на корневой библиотеке, вынося прочие вопросы, такие как роутинг или управления глобальным состоянием приложения, в дополнительные библиотеки","- фокусируются на корневой библиотеке, вынося прочие вопросы, такие как роутинг или управление глобальным состоянием приложения, в дополнительные библиотеки",GitHubTypoCorpusRu
"Откройте приложения для команднй строки. На Mac OS X откройте Terminal.app, на Windows выберите ""Run"" в меню Start и напишите 'cmd.exe'. Любые команды, начинающиеся со знака доллара `$` должны быть запущены в командной строке. Убедитесь, что у вас установлена текущая версия Ruby:","Откройте приложения для командной строки. На Mac OS X откройте Terminal.app, на Windows выберите ""Run"" в меню Start и напишите 'cmd.exe'. Любые команды, начинающиеся со знака доллара `$` должны быть запущены в командной строке. Убедитесь, что у вас установлена текущая версия Ruby:",GitHubTypoCorpusRu
"[[yii\i18n\Formatter|класса форматирования]]. Вы можете задать форматирование по-умолчанию для всего приложения, настроив","[[yii\i18n\Formatter|класса форматирования]]. Вы можете задать форматирование по умолчанию для всего приложения, настроив",GitHubTypoCorpusRu
"msgstr ""уведомление послено""","msgstr ""уведомление послано""",GitHubTypoCorpusRu
Давайте немного сменим направление. Я практиковался в поэзии на и положил ,Давайте немного сменим направление. Я практиковался в поэзии и положил,GitHubTypoCorpusRu
"msgstr ""Добавить меди файлы в категорию""","msgstr ""Добавить медиа файлы в категорию""",GitHubTypoCorpusRu
"6. Чтобы группировка работало, инициализируйте/переопределите переменную group в `PushHandleStrategy`.","6. Чтобы группировка работала, инициализируйте/переопределите переменную group в `PushHandleStrategy`.",GitHubTypoCorpusRu
"символов. Так как ручное экранирование черевато ошибками, Yii предоставляет различные утилиты для экранирования в","символов. Так как ручное экранирование чревато ошибками, Yii предоставляет различные утилиты для экранирования в",GitHubTypoCorpusRu
"  Если вы передаёте функцию, возвращающую объект, то возвращаемый объект будет использован в качестве корневого состояния. Это может быть полезным, если вы хотите повторно использовать объект состояния, особенно при повторном использовании модулей. [Подробнее](../guide/modules.md#повторное-использование-модулей)","  Если вы передаёте функцию, возвращающую объект, то возвращаемый объект будет использован в качестве корневого состояния. Это может быть полезным, если вы хотите повторно использовать объект состояния, особенно при повторном использовании модулей. [Подробнее](../guide/modules.md#повторное-испоnьзование-модуnей)",GitHubTypoCorpusRu
"деревом. В ней роли находятся на верхних уровнях, операции — на нижних. Посередине","деревом. В ней роли находятся на верхних уровнях, а операции — на нижних. Посередине",GitHubTypoCorpusRu
"Всё параметры располагаются в директории `config`, а основным файлом для платформы является ","Все параметры располагаются в директории `config`, а основным файлом для платформы является ",GitHubTypoCorpusRu
Склонируйте Fenom в любую директорию Вашего проекта: `git clone https://github.com/bzick/fenom.git`. Рекомендуется использовать последнюю версию.,Клонируйте Fenom в любую директорию Вашего проекта: `git clone https://github.com/bzick/fenom.git`. Рекомендуется использовать последнюю версию.,GitHubTypoCorpusRu
"`store.watch` теперь принимает в качестве аргумента только функции. Например, выдолжны заменить:","`store.watch` теперь принимает в качестве аргумента только функции. Например, вы должны заменить:",GitHubTypoCorpusRu
"  - Балтийское море, Ostsee, Warnemünde (2,5 часа в пути, schönes wochenende ticket за 48 евро до 5 человек), рекомендуется однодневная велопоездка вдоль моря от Warnemünde до Kühlungsborn ([маршрут](https://www.google.de/maps/dir/Warnem%C3%BCnde,+Rostock/K%C3%BChlungsborn/@54.1216035,11.9246881,11z/data=!4m14!4m13!1m5!1m1!1s0x47ac5620523f71ab:0x9e121083fbc6b25c!2m2!1d12.0784438!2d54.170342!1m5!1m1!1s0x47ada930f01dd6f3:0x4251ae8ad848580!2m2!1d11.7420026!2d54.1468513!3e1))","  - Балтийское море, Ostsee, Warnemünde (2,5 часа в пути, Schönes Wochenende Ticket за 48 евро до 5 человек), рекомендуется однодневная велопоездка вдоль моря от Warnemünde до Kühlungsborn ([маршрут](https://www.google.de/maps/dir/Warnem%C3%BCnde,+Rostock/K%C3%BChlungsborn/@54.1216035,11.9246881,11z/data=!4m14!4m13!1m5!1m1!1s0x47ac5620523f71ab:0x9e121083fbc6b25c!2m2!1d12.0784438!2d54.170342!1m5!1m1!1s0x47ada930f01dd6f3:0x4251ae8ad848580!2m2!1d11.7420026!2d54.1468513!3e1))",GitHubTypoCorpusRu
"сделаем первичный ключ таблицы безопасным, злоумышленник сможет","сделаем первичный ключ таблицы безопасным, злоумышленник получит шанс его записать и,",GitHubTypoCorpusRu
"> `_.debounce`, `_.throttle` и `raf-schd` предусматривают метод `cancel` для отмены отложенных колбэков. Вы должны либо вызвать этот метод из componentWillUnmount, _либо_ удостоверится, что компонент все ещё встроен в пределах отложенной функции.","> `_.debounce`, `_.throttle` и `raf-schd` предусматривают метод `cancel` для отмены отложенных колбэков. Вы должны либо вызвать этот метод из componentWillUnmount, _либо_ удостовериться, что компонент всё ещё встроен в пределах отложенной функции.",GitHubTypoCorpusRu
Иногда использование единой истории для всех миграция проекта не желательно. Например: вы можете установить расширение,Иногда использование единой истории для всех миграций проекта не желательно. Например: вы можете установить расширение,GitHubTypoCorpusRu
"Если ваше приложение не использует Eloquent, вы можете использовать драйвер аутентификации `database`, который работает через построитель запросов.","Если ваше приложение не использует Eloquent, вы можете использовать драйвер аутентификации `database`, который работает через конструктор запросов.",GitHubTypoCorpusRu
"Также, мы зарегистрировали обработчик {@link api/ng.directive:ngClick `ngClick`}для каждой миниатюры.","Также, мы зарегистрировали обработчик {@link api/ng.directive:ngClick `ngClick`} для каждой миниатюры.",GitHubTypoCorpusRu
"Подавляющее большинство библиотек находятся (говорят, «хостятся») на [Гитхабе](https://github.com). Предположим, что понадобилось найти библиотеку для выполнения HTTP-запросов в JavaScript. Для этого можно сформировать следующий запрос: `gihtub js http client`. Гугл выдаст десяток ссылок на разные репозитории. Конечно, можно использовать и язык запросов: `site:github.com js http client`, но чаще всего достаточно просто указать `github`.","Подавляющее большинство библиотек находятся (говорят, «хостятся») на [Гитхабе](https://github.com). Предположим, что понадобилось найти библиотеку для выполнения HTTP-запросов в JavaScript. Для этого можно сформировать следующий запрос: `github js http client`. Гугл выдаст десяток ссылок на разные репозитории. Конечно, можно использовать и язык запросов: `site:github.com js http client`, но чаще всего достаточно просто указать `github`.",GitHubTypoCorpusRu
Так мы можем измменить последнюю строку на это: __number\_of\_shrews__.,Так мы можем изменить последнюю строку на это: __number\_of\_shrews__.,GitHubTypoCorpusRu
"При использвании оператора `===` значение _и_ тип должны быть одинаковыми. Но в нашем случае это не так: `new Number()` это не число, это **объект**. Оба возвращают `false`.","При использовании оператора `===` значение _и_ тип должны быть одинаковыми. Но в нашем случае это не так: `new Number()` это не число, это **объект**. Оба возвращают `false`.",GitHubTypoCorpusRu
user_in_contact: <b>{username}</b> уже находится в списке ваших контактов.,user_in_contact: <b>{username}</b> уже находится в вашем списке контактов.,GitHubTypoCorpusRu
- [yii2tech\ar\position\PositionBehavior](https://github.com/yii2tech/ar-position) - позволяет упралять порядком,- [yii2tech\ar\position\PositionBehavior](https://github.com/yii2tech/ar-position) - позволяет управлять порядком,GitHubTypoCorpusRu
"msgstr ""Нописать сообщение""","msgstr ""Написать сообщение""",GitHubTypoCorpusRu
"* Именовать контроллеры правильно так, чтобы его имя остояло из части описывающей то чем он занимается (для примера: корзина, домашняя страница, админ панель) и постфикса `Ctrl`. Имена контроллеров записываются в UpperCamelCase (`HomePageCtrl`, `ShoppingCartCtrl`, `AdminPanelCtrl`, и т.д.).","* Именовать контроллер следует так, чтобы его имя состояло из части, описывающей то, чем он занимается (для примера: корзина, домашняя страница, админ-панель) и постфикса `Ctrl`. Имена контроллеров записываются в UpperCamelCase (`HomePageCtrl`, `ShoppingCartCtrl`, `AdminPanelCtrl`, и т.д.).",GitHubTypoCorpusRu
			/// в самом деле цепочка UNION ALL. Первый запрос достаточен для определения нужных столбцов.,			/// в самом деле цепочкой UNION ALL. Первый запрос достаточен для определения нужных столбцов.,GitHubTypoCorpusRu
"    ""request.error.model.unknow"": ""Модель данных не существует"",","    ""request.error.model.unknown"": ""Модель данных не существует"",",GitHubTypoCorpusRu
"- На нодо обижаться, если предложенная тема была заминусована другими слушателями. В этом, как правило, нет ничего личного и, совершенно точно, не стоит устраивать разборки и выяснения за что и почему это произошло.","- Не надо обижаться, если предложенная тема была заминусована другими слушателями. В этом, как правило, нет ничего личного и, совершенно точно, не стоит устраивать разборки и выяснения за что и почему это произошло.",GitHubTypoCorpusRu
- [Карта сравнения цен](http://www.immobilienscout24.de/content/dam/is24/ibw/dokumente/miet-map-berlin.jpg) по состоянию на конец 2015 года. Источник: [статья](http://www.immobilienscout24.de/immobilienbewertung/ratgeber/mietpreise-und-kaufpreise/mietspiegel/miet-map-berlin.html) на [immobilienscout24](http://www.immobilienscout24.de/),  * [Карта сравнения цен](https://www.immobilienscout24.de/neubau/ratgeber/aktuelle-neubau-themen/kauf-map-berlin-2016.html) по состоянию на 2016 год. Источник: [статья](http://www.immobilienscout24.de/immobilienbewertung/ratgeber/mietpreise-und-kaufpreise/mietspiegel/miet-map-berlin.html) на [immobilienscout24](http://www.immobilienscout24.de/),GitHubTypoCorpusRu
"Если вы использутете Apache и настроили его как описано в разделе «[Установк Yii](start-installation.md)», то для тестов вам необходимо создать отдельнвй виртуальный хост который будет работать с той же папкой, но использовать входной скрипт index-test.php:","Если вы используете Apache и настроили его как описано в разделе «[Установка Yii](start-installation.md)», то для тестов вам необходимо создать отдельный виртуальный хост который будет работать с той же папкой, но использовать входной скрипт `index-test.php`:",GitHubTypoCorpusRu
text.industrialforegoing.plant.melon= - Арбуз §o(Не обязательно пересаживать),text.industrialforegoing.plant.melon= - Арбуз §o(Необязательно пересаживать),GitHubTypoCorpusRu
"При использовании списков очень частой операцией является получение начала и ""хвоста"" списка. ""Головой"" является первый элемент, а ""хвостом"" - остальные элементы. Elixir предоставляет два оператора `hd` и `tl` для работы с этими частями:","При использовании списков очень частой операцией является получение ""головы"" и ""хвоста"" списка. ""Головой"" является первый элемент, а ""хвостом"" - остальные элементы. Elixir предоставляет два оператора `hd` и `tl` для работы с этими частями:",GitHubTypoCorpusRu
Это обычно используется когда шаблоны рендерятся как частные (partials) из других шаблонов.,"Это обычный подход, когда шаблоны рендерятся как частные (partials) из других шаблонов.",GitHubTypoCorpusRu
"Эта команда команда устанавливает последнюю стабильную версию Yii в директорию `basic`. Если хотите, можете выбрать другое","Эта команда устанавливает последнюю стабильную версию Yii в директорию `basic`. Если хотите, можете выбрать другое",GitHubTypoCorpusRu
"msgstr ""Ошибка во время потметки заметки как прочитанной: %s""","msgstr ""Ошибка во время пометки заметки как прочитанной: %s""",GitHubTypoCorpusRu
"msgstr ""Выбертие категорию:""","msgstr ""Выберите категорию:""",GitHubTypoCorpusRu
        // при этом новый делегать уже успевает вызвать onCreate а потом уже на старом делегате вызывается onDestroy,        // при этом новый делегат уже успевает вызвать onCreate а потом уже на старом делегате вызывается onDestroy,GitHubTypoCorpusRu
"Используя формат операторов, Yii автоматически призяывает значения для сравнения как параметры, потому в отличие от [строкового формата](#string-format),","Используя формат операторов, Yii автоматически привязывает значения для сравнения как параметры, потому в отличие от [строкового формата](#string-format),",GitHubTypoCorpusRu
Использование метода [[yii\base\Component::attachBehaviors()]] позволяет прикрепить несколько поведение за раз.,Использование метода [[yii\base\Component::attachBehaviors()]] позволяет прикрепить несколько поведений за раз.,GitHubTypoCorpusRu
"Как уже было сказано, портал может находиться в любом месте DOM-дерева. Несмотря на это, во всех других аспектах он ведёт себя как обычный React-компонент. Такие возможности, как контекст, работают привычным образом, даже если потомок является порталом, поскольку сам портал все ещё находится в *React-дереве*, несмотря на его расположение в *DOM-дереве*.","Как уже было сказано, портал может находиться в любом месте DOM-дерева. Несмотря на это, во всех других аспектах он ведёт себя как обычный React-компонент. Такие возможности, как контекст, работают привычным образом, даже если потомок является порталом, поскольку сам портал всё ещё находится в *React-дереве*, несмотря на его расположение в *DOM-дереве*.",GitHubTypoCorpusRu
"С другой стороны, версия runtime-only полностью совместим с CSP. При её использовании с [Webpack + vue-loader](https://github.com/vuejs-templates/webpack-simple) или [Browserify + vueify](https://github.com/vuejs-templates/browserify-simple) шаблоны прекомпилируются в `render`-функции, которые прекрасно работают в CSP-окружениях.","С другой стороны, версия runtime-only полностью совместима с CSP. При её использовании с [Webpack + vue-loader](https://github.com/vuejs-templates/webpack-simple) или [Browserify + vueify](https://github.com/vuejs-templates/browserify-simple) шаблоны прекомпилируются в `render`-функции, которые прекрасно работают в CSP-окружениях.",GitHubTypoCorpusRu
"Более наглядно 3D визуализацию систем координат можно наблдюдать, используя [rviz](rviz.md).","Более наглядно 3D визуализацию систем координат можно наблюдать, используя [rviz](rviz.md).",GitHubTypoCorpusRu
В письме будет фигурировать сумма **€17.50** (в месяц) - именно столько составляет размер _добровольной_ оплаты телерадиовещания.,В письме будет фигурировать сумма **€17.50** (в месяц) - именно столько составляет размер оплаты телерадиовещания.,GitHubTypoCorpusRu
"Для настройки библиотек мы рекомендуем использовать менеджер пакетов [Anaconda](https://www.anaconda.com/) (есть для Linux, OS X, Windows). Для установки в Linux и OS X исмотрите инструкции на сайте http://pytorch.org/. ","Для настройки библиотек мы рекомендуем использовать менеджер пакетов [Anaconda](https://www.anaconda.com/) (есть для Linux, OS X, Windows). Для установки в Linux и OS X смотрите инструкции на сайте http://pytorch.org/. ",GitHubTypoCorpusRu
"msgstr ""Для активации вашей учётгной записи перейдите по ссылке ниже:""","msgstr ""Для активации вашей учётной записи перейдите по ссылке ниже:""",GitHubTypoCorpusRu
"что приложение, написанное с использованием Yii, будет работать также эффективно. Есть","что приложение, написанное с использованием Yii, будет работать так же эффективно. Есть",GitHubTypoCorpusRu
"В таких случаев элементу `<slot>` можно указать специальный атрибут `name`, который используется для определения дополнительных слотов:","В таких случаях элементу `<slot>` можно указать специальный атрибут `name`, который используется для определения дополнительных слотов:",GitHubTypoCorpusRu
